primary_label,support,sed_auc_v110_like,sed_auc_v113_like,sed_auc_delta
ruftho1,0,0.5,0.5,0.0
ruftof1,0,0.5,0.5,0.0
rumfly1,0,0.5,0.5,0.0
ruther1,1,1.0,0.36633664,-0.63366336
rutjac1,1,0.9519095,0.73125887,-0.22065061
sabspa1,0,0.5,0.5,0.0
saffin,0,0.5,0.5,0.0
saytan1,0,0.5,0.5,0.0
scadov1,0,0.5,0.5,0.0
schpar1,0,0.5,0.5,0.0
scther1,0,0.5,0.5,0.0
shcfly1,0,0.5,0.5,0.0
shshaw,0,0.5,0.5,0.0
shtnig1,0,0.5,0.5,0.0
sibtan2,1,1.0,0.40876946,-0.5912305
smbani,0,0.5,0.5,0.0
smbtin1,0,0.5,0.5,0.0
sobcac1,0,0.5,0.5,0.0
sobtyr1,0,0.5,0.5,0.0
socfly1,0,0.5,0.5,0.0
sofspi1,0,0.5,0.5,0.0
souant1,0,0.5,0.5,0.0
soulap1,0,0.5,0.5,0.0
souscr1,0,0.5,0.5,0.0
spbant3,0,0.5,0.5,0.0
spispi1,0,0.5,0.5,0.0
sptnig1,0,0.5,0.5,0.0
squcuc1,0,0.5,0.5,0.0
stbwoo2,0,0.5,0.5,0.0
strcuc1,0,0.5,0.5,0.0
strher2,2,0.47308782,0.5913598,0.11827198
strowl1,0,0.5,0.5,0.0
swthum1,0,0.5,0.5,0.0
swtman1,0,0.5,0.5,0.0
tattin1,0,0.5,0.5,0.0
thlwre1,0,0.5,0.5,0.0
toctou1,0,0.5,0.5,0.0
trokin,0,0.5,0.5,0.0
trsowl,26,0.6391834,0.66907287,0.029889464
undtin1,43,0.8498339,0.45179227,-0.39804164
varant1,0,0.5,0.5,0.0
watjac1,0,0.5,0.5,0.0
wesfie1,0,0.5,0.5,0.0
wfwduc1,1,1.0,0.4115983,-0.5884017
whbant2,0,0.5,0.5,0.0
whbwar2,0,0.5,0.5,0.0
whiwoo1,0,0.5,0.5,0.0
whlspi1,0,0.5,0.5,0.0
whnjay1,0,0.5,0.5,0.0
whtdov,63,0.97561216,0.32567984,-0.6499323
whwpic1,0,0.5,0.5,0.0
y00678,0,0.5,0.5,0.0
yebcar,0,0.5,0.5,0.0
yebela1,0,0.5,0.5,0.0
yecmac,0,0.5,0.5,0.0
yecpar,0,0.5,0.5,0.0
yehcar1,0,0.5,0.5,0.0
yeofly1,0,0.5,0.5,0.0
