primary_label,support,best_variant,best_auc,second_auc,sed_quality,sed_margin,sed_trust,auc_zscore,auc_minmax
67107,9,zscore,0.38896838,0.30948976,0.0,0.7947862,0.0,0.38896838,0.30948976
67252,2,zscore,0.8930595,0.40864024,1.0,1.0,0.82,0.8930595,0.40864024
70711,0,zscore,0.5,0.5,0.0,0.0,0.0,,
738183,0,zscore,0.5,0.5,0.0,0.0,0.0,,
74113,2,zscore,0.4398017,0.25354108,0.0,1.0,0.0,0.4398017,0.25354108
74580,0,zscore,0.5,0.5,0.0,0.0,0.0,,
760266,0,zscore,0.5,0.5,0.0,0.0,0.0,,
ashgre1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
astcra1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bafcur1,9,minmax,0.18041646,0.05404546,0.0,1.0,0.0,0.05404546,0.18041646
baffal1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
banana,0,zscore,0.5,0.5,0.0,0.0,0.0,,
barant1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
batbel1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
baymac,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bbwduc,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bcwfin2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bkcdon,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bkhpar,0,zscore,0.5,0.5,0.0,0.0,0.0,,
blchaw1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
blheag1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
blttit1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bncfly,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bobfly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
brcmar1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
brnowl,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bucmot4,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bucpar,0,zscore,0.5,0.5,0.0,0.0,0.0,,
bufpar,14,zscore,0.55485797,0.54137504,0.04952649,0.13482928,0.0,0.55485797,0.54137504
bunibi1,2,zscore,0.9121813,0.22308782,1.0,1.0,0.82,0.9121813,0.22308782
burowl,0,zscore,0.5,0.5,0.0,0.0,0.0,,
camfli1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
chacha1,63,minmax,0.43339485,0.29381076,0.0,1.0,0.0,0.29381076,0.43339485
chbmoc1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
chobla1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
chvcon1,35,minmax,0.32218212,0.24139248,0.0,0.8078964,0.0,0.24139248,0.32218212
cibspi1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
coffal1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
compau,37,zscore,0.6012003,0.23212631,0.20400086,1.0,0.31056055,0.6012003,0.23212631
compot1,3,zscore,0.59479904,0.2496454,0.1826634,1.0,0.29690456,0.59479904,0.2496454
crbthr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
crebec1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
dwatin1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
epaori4,0,zscore,0.5,0.5,0.0,0.0,0.0,,
eulfly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
fabwre1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
fepowl,0,zscore,0.5,0.5,0.0,0.0,0.0,,
ficman1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
flawar1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
fotfly,0,zscore,0.5,0.5,0.0,0.0,0.0,,
fusfly1,3,zscore,0.35413712,0.35271868,0.0,0.014184415,0.0,0.35413712,0.35271868
gilhum1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
giwrai1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
glteme1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
grasal3,0,zscore,0.5,0.5,0.0,0.0,0.0,,
