primary_label,common_name,class_name,support,oof_base_auc,oof_prior_auc,support_bucket,macro_risk_action,w_anchor,w_sed,w_private_probe,w_cnn_sidecar,risk_rank
476521,Cuyaba Dwarf Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,18.18
555123,Usina Tree Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,20.19
555145,Polka-dot Tree Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,21.2
64898,Yungas de la Paz Poison Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,22.21
70711,Cei's White-lipped Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,23.22
738183,White-coated Titi,Mammalia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,24.23
74580,Black-tailed Marmoset,Mammalia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,25.24
760266,Prionacris erosa,Insecta,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,26.25
ashgre1,Ashy-headed Greenlet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,27.26
astcra1,Ash-throated Crake,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,28.27
baffal1,Barred Forest-Falcon,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,29.28
banana,Bananaquit,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,30.29
barant1,Barred Antshrike,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,31.3
batbel1,Bare-throated Bellbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,32.31
baymac,Blue-and-yellow Macaw,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,33.32
bbwduc,Black-bellied Whistling Duck,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,34.33
bcwfin2,Black-capped Warbling Finch,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,35.34
bkcdon,Black-capped Donacobius,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,36.35
bkhpar,Nanday Parakeet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,37.36
blchaw1,Black-collared Hawk,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,38.37
blheag1,Black Hawk-Eagle,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,39.38
blttit1,Black-tailed Tityra,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,40.39
bncfly,Brown-crested Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,41.4
bobfly1,Boat-billed Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,42.41
brcmar1,Brown-chested Martin,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,43.42
brnowl,American Barn Owl,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,44.43
bucmot4,Amazonian Motmot,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,45.44
bucpar,Blue-crowned Parakeet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,46.45
burowl,Burrowing Owl,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,47.46
camfli1,Campo Flicker,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,48.47
chbmoc1,Chalk-browed Mockingbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,49.48
chobla1,Chopi Blackbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,50.49
