candidate,safe_weight,bold_weight,macro_auc,macro_gain,weak_followup_auc,weak_followup_gain,fold_std,fold_std_delta,fold_min,top1_hit,top5_hit,corr_vs_anchor,changed_cells,max_abs_delta,mean_abs_delta,class_regressions_lt_001,material_class_regressions_lt_003,worst_class_delta
safe0.50_bold0.50,0.5,0.5,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999175735424347,323,0.12445188233738624,0.00020988886072781013,0,0,-0.0004999999999999449
safe0.45_bold0.55,0.45,0.55,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999119060161827,323,0.12445188233738624,0.00022018157888170522,0,0,-0.0004999999999999449
safe0.40_bold0.60,0.4,0.6,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999056966391947,323,0.12445188233738624,0.00023047429703560094,0,0,-0.0004999999999999449
safe0.35_bold0.65,0.35,0.65,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998989453215261,323,0.12445188233738624,0.0002407670151894955,0,0,-0.0004999999999999449
safe0.30_bold0.70,0.3,0.7,0.9805105568717544,0.003147000196065619,0.9597338878095574,0.009890572044777834,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998916519758584,323,0.12445188233738624,0.0002510597333433878,0,0,-0.0004999999999999449
safe0.25_bold0.75,0.25,0.75,0.9804125240634413,0.0030489673877525103,0.9594257846977159,0.00958246893293635,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998838165175015,323,0.12445188233738624,0.00026135245149727247,0,0,-0.0004999999999999449
safe0.20_bold0.80,0.2,0.8,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.15430148700221938,-0.0009458113492890052,0.4743265993265993,0.273972602739726,0.5068493150684932,0.999875438864389,323,0.12445188233738624,0.00027164516965117125,0,0,-0.0004999999999999449
safe0.15_bold0.85,0.15,0.85,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998665189370886,323,0.12445188233738624,0.00028193788780506276,0,0,-0.0004999999999999449
safe0.10_bold0.90,0.1,0.9,0.980281813652357,0.0029182569766682542,0.959014980548594,0.009171664783814482,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998570566587986,323,0.12730564532951855,0.00029223060595895433,0,0,-0.0004999999999999449
safe0.05_bold0.95,0.05,0.95,0.980281813652357,0.0029182569766682542,0.959014980548594,0.009171664783814482,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998470519553474,323,0.13437818118115852,0.0003025233241128447,0,0,-0.0004999999999999449
safe0.00_bold1.00,0.0,1.0,0.980281813652357,0.0029182569766682542,0.959014980548594,0.009171664783814482,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9998365047552008,323,0.14145071703279838,0.000312816042266735,0,0,-0.0004999999999999449
