name,formula,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,classes_mixed,sources_used,selected_classes,min,max,mean,std
v110_clean_router_m-0.04_w0.18_prob,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.18;mode=prob;support_shrink=log1p,0.97948099,0.91685559,0.21917808,0.52054795,22,0.99971944,0.00083611,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52111586,0.24207837
v110_clean_router_m-0.04_w0.18_rankcal,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.18;mode=rankcal;support_shrink=log1p,0.97946581,0.91544218,0.21917808,0.52054795,22,0.99978957,0.00069499,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52113223,0.24201717
v110_clean_router_m-0.02_w0.18_rankcal,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.18;mode=rankcal;support_shrink=log1p,0.97946581,0.91548556,0.21917808,0.52054795,22,0.99979933,0.00063873,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52113223,0.24203509
v114_clean_selfblend_router_m0_w0.12_prob,per_class_best_non_tsubasa_side;margin=0.0;weight=0.12;mode=prob;support_shrink=log1p,0.97945401,0.91652318,0.23287671,0.52054795,22,0.99989790,0.00041152,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52111109,0.24173378
v114_clean_selfblend_router_m0_w0.5_norm_residual,per_class_best_non_tsubasa_side;margin=0.0;weight=0.5;mode=norm_residual;support_shrink=log1p,0.97945401,0.91651685,0.23287671,0.52054795,22,0.99989035,0.00042637,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52114477,0.24171919
v110_clean_router_m0_w0.18_rankcal,per_class_best_non_tsubasa_side;margin=0.0;weight=0.18;mode=rankcal;support_shrink=log1p,0.97945266,0.91535698,0.21917808,0.52054795,22,0.99980766,0.00056247,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946990,0.52113223,0.24205473
v114_clean_selfblend_router_m-0.04_w0.25_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.25;mode=rankcal_ranklead;support_shrink=log1p,0.97945140,0.91710901,0.23287671,0.52054795,22,0.99981481,0.00045973,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52157539,0.24175565
v114_clean_selfblend_router_m-0.02_w0.25_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.25;mode=rankcal_ranklead;support_shrink=log1p,0.97945140,0.91699245,0.23287671,0.52054795,22,0.99981972,0.00043248,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52154814,0.24176081
v114_clean_selfblend_router_m-0.04_w0.35_norm_residual,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.35;mode=norm_residual;support_shrink=log1p,0.97944976,0.91649976,0.23287671,0.52054795,22,0.99994118,0.00037090,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52116854,0.24176335
v114_clean_selfblend_router_m-0.02_w0.35_norm_residual,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.35;mode=norm_residual;support_shrink=log1p,0.97944976,0.91643786,0.23287671,0.52054795,22,0.99994314,0.00034450,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52115452,0.24176603
