name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,active_cells,min,max,anchor,validation,mode,weight,classes
v130_v114_clean_selfblend_same_top5_or_positive_w0.35,0.97951726,0.91671665,0.23287671,0.52054795,22,0.99980893,0.00030824,191,0.01114442,0.99946620,v114_clean_selfblend,same_row,top5_or_positive,0.35,47158son13;47158son22;47158son23
v130_v110_clean_blocked_full_w0.2,0.97949153,0.91523064,0.21917808,0.52054795,22,0.99983411,0.00038915,360,0.01114442,0.99946990,v110_clean,blocked,full,0.2,47158son13;47158son22;47158son23
v130_v110_clean_same_positive_w0.5,0.97947045,0.91657749,0.21917808,0.52054795,22,0.99961453,0.00043109,181,0.01114442,0.99946990,v110_clean,same_row,positive,0.5,47158son13;47158son22;47158son23
v130_v110_clean_same_top5_or_positive_w0.5,0.97947045,0.91615832,0.21917808,0.52054795,22,0.99961129,0.00044046,192,0.01114442,0.99946990,v110_clean,same_row,top5_or_positive,0.5,47158son13;47158son22;47158son23
v130_v110_clean_blocked_positive_w0.35,0.97944937,0.91639891,0.21917808,0.52054795,22,0.99977901,0.00033034,176,0.01114442,0.99946990,v110_clean,blocked,positive,0.35,47158son13;47158son22;47158son23
v130_v110_clean_blocked_top5_or_positive_w0.35,0.97944937,0.91613335,0.21917808,0.52054795,22,0.99977704,0.00033677,185,0.01114442,0.99946990,v110_clean,blocked,top5_or_positive,0.35,47158son13;47158son22;47158son23
v130_v110_clean_same_full_w0.2,0.97942829,0.91523663,0.21917808,0.52054795,22,0.99986314,0.00034487,360,0.01114442,0.99946990,v110_clean,same_row,full,0.2,47158son13;47158son22;47158son23
v130_v110_clean_same_positive_w0.35,0.97942829,0.91606903,0.21917808,0.52054795,22,0.99981115,0.00030176,182,0.01114442,0.99946990,v110_clean,same_row,positive,0.35,47158son13;47158son22;47158son23
v130_v110_clean_same_top5_or_positive_w0.35,0.97942829,0.91580060,0.21917808,0.52054795,22,0.99980957,0.00030832,193,0.01114442,0.99946990,v110_clean,same_row,top5_or_positive,0.35,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_positive_w0.2,0.97939076,0.91663968,0.23287671,0.52054795,22,0.99992761,0.00018873,176,0.01114442,0.99946620,v114_clean_selfblend,blocked,positive,0.2,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_top5_or_positive_w0.2,0.97939076,0.91650528,0.23287671,0.52054795,22,0.99992696,0.00019240,185,0.01114442,0.99946620,v114_clean_selfblend,blocked,top5_or_positive,0.2,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_positive_w0.2,0.97936968,0.91644154,0.23287671,0.52054795,22,0.99993814,0.00017239,179,0.01114442,0.99946620,v114_clean_selfblend,same_row,positive,0.2,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_top5_or_positive_w0.2,0.97936968,0.91629691,0.23287671,0.52054795,22,0.99993763,0.00017614,190,0.01114442,0.99946620,v114_clean_selfblend,same_row,top5_or_positive,0.2,47158son13;47158son22;47158son23
v130_v110_clean_blocked_positive_w0.2,0.97930179,0.91572581,0.21917808,0.52054795,22,0.99992786,0.00018877,176,0.01114442,0.99946990,v110_clean,blocked,positive,0.2,47158son13;47158son22;47158son23
v130_v110_clean_blocked_top5_or_positive_w0.2,0.97930179,0.91558635,0.21917808,0.52054795,22,0.99992722,0.00019244,185,0.01114442,0.99946990,v110_clean,blocked,top5_or_positive,0.2,47158son13;47158son22;47158son23
v130_v110_clean_same_positive_w0.2,0.97928071,0.91553250,0.21917808,0.52054795,22,0.99993835,0.00017243,179,0.01114442,0.99946990,v110_clean,same_row,positive,0.2,47158son13;47158son22;47158son23
v130_v110_clean_same_top5_or_positive_w0.2,0.97928071,0.91538247,0.21917808,0.52054795,22,0.99993784,0.00017618,190,0.01114442,0.99946990,v110_clean,same_row,top5_or_positive,0.2,47158son13;47158son22;47158son23
v114_clean_selfblend_baseline,0.97920102,0.91572402,0.23287671,0.52054795,22,1.00000000,0.00000000,0,0.01114442,0.99946620,v114_clean_selfblend,baseline,,,47158son13;47158son22;47158son23
v110_clean_baseline,0.97911204,0.91481637,0.21917808,0.52054795,22,1.00000000,0.00000000,0,0.01114442,0.99946990,v110_clean,baseline,,,47158son13;47158son22;47158son23
