name,formula,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
th0.02_sl0.2_inv_eco_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91489795,0.21917808,0.52054795,0.01114442,0.99946875,0.52113269,0.24229138
th0.02_sl0.2_inv_eco_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91491382,0.21917808,0.52054795,0.01114442,0.99946846,0.52113280,0.24227871
th0.02_sl0.2_inv_eco_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91492694,0.21917808,0.52054795,0.01114442,0.99946818,0.52113292,0.24226630
th0.02_sl0.2_inv_eco_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91495789,0.23287671,0.52054795,0.01114442,0.99946760,0.52113315,0.24224224
th0.02_sl0.2_inv_eco_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91501140,0.23287671,0.52054795,0.01114442,0.99946674,0.52113349,0.24220803
th0.02_sl0.2_inv_eco_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91506064,0.23287671,0.52054795,0.01114442,0.99946559,0.52113395,0.24216596
th0.02_sl0.2_inv_eco_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91512070,0.23287671,0.52054795,0.01114442,0.99946415,0.52113453,0.24211904
th0.04_sl0.04_flat_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91493983,0.21917808,0.52054795,0.01114442,0.99946852,0.52113175,0.24226306
th0.04_sl0.04_flat_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91498953,0.23287671,0.52054795,0.01114442,0.99946783,0.52113151,0.24222589
th0.04_sl0.04_flat_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91503728,0.23287671,0.52054795,0.01114442,0.99946714,0.52113127,0.24219111
