candidate,alpha,target_mode,blend_weight,min_delta,min_prior_rank,active_cells,macro_auc,macro_gain,micro_auc,top1_hit,top5_hit,fold_macro_mean,fold_macro_std,fold_macro_min,fold_std_delta,weak_followup_mean_auc,weak_followup_gain,corr_vs_anchor,corr_vs_v377_oracle,decision
alpha0.1_delta_bw0.5_d0_pr0,0.10000000,delta,0.50000000,0.00000000,0.00000000,315.00000000,0.97820525,0.00084170,0.91426396,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95248865,0.00264533,0.99998166,0.99978847,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0_pr0.25,0.10000000,delta,0.50000000,0.00000000,0.25000000,280.00000000,0.97820525,0.00084170,0.91426431,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95248865,0.00264533,0.99998263,0.99978726,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0_pr0.5,0.10000000,delta,0.50000000,0.00000000,0.50000000,200.00000000,0.97820525,0.00084170,0.91426580,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95248865,0.00264533,0.99998464,0.99977864,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0_pr0,0.01000000,delta,0.50000000,0.00000000,0.00000000,318.00000000,0.97817258,0.00080902,0.91432391,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95238595,0.00254263,0.99998032,0.99979082,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0_pr0.25,0.01000000,delta,0.50000000,0.00000000,0.25000000,283.00000000,0.97817258,0.00080902,0.91432425,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95238595,0.00254263,0.99998133,0.99978969,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0_pr0.5,0.01000000,delta,0.50000000,0.00000000,0.50000000,204.00000000,0.97817258,0.00080902,0.91432552,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95238595,0.00254263,0.99998350,0.99978085,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.005_pr0,0.01000000,delta,0.50000000,0.00500000,0.00000000,249.00000000,0.97817258,0.00080902,0.91423968,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95238595,0.00254263,0.99998035,0.99979063,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.005_pr0.25,0.01000000,delta,0.50000000,0.00500000,0.25000000,220.00000000,0.97817258,0.00080902,0.91424003,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95238595,0.00254263,0.99998137,0.99978953,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.005_pr0.5,0.01000000,delta,0.50000000,0.00500000,0.50000000,156.00000000,0.97817258,0.00080902,0.91424129,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95238595,0.00254263,0.99998353,0.99978072,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0.02_pr0,1.00000000,delta,0.70000000,0.02000000,0.00000000,125.00000000,0.97816360,0.00080004,0.91393362,0.30136986,0.50684932,0.76821837,0.15513969,0.47432660,-0.00010761,0.95235774,0.00251442,0.99997654,0.99978817,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0.02_pr0.25,1.00000000,delta,0.70000000,0.02000000,0.25000000,115.00000000,0.97816360,0.00080004,0.91393385,0.30136986,0.50684932,0.76821837,0.15513969,0.47432660,-0.00010761,0.95235774,0.00251442,0.99997749,0.99978841,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0.02_pr0.5,1.00000000,delta,0.70000000,0.02000000,0.50000000,95.00000000,0.97816360,0.00080004,0.91393397,0.30136986,0.50684932,0.76821837,0.15513969,0.47432660,-0.00010761,0.95235774,0.00251442,0.99997979,0.99977972,PROMOTE-deployable-distill-candidate
alpha1_delta_bw1_d0.02_pr0,1.00000000,delta,1.00000000,0.02000000,0.00000000,125.00000000,0.97815696,0.00079341,0.91439266,0.30136986,0.50684932,0.76596188,0.15514968,0.47432660,-0.00009762,0.95233688,0.00249356,0.99995211,0.99980311,PROMOTE-deployable-distill-candidate
alpha1_delta_bw1_d0.02_pr0.25,1.00000000,delta,1.00000000,0.02000000,0.25000000,115.00000000,0.97815696,0.00079341,0.91439289,0.30136986,0.50684932,0.76596188,0.15514968,0.47432660,-0.00009762,0.95233688,0.00249356,0.99995406,0.99980403,PROMOTE-deployable-distill-candidate
alpha1_delta_bw1_d0.02_pr0.5,1.00000000,delta,1.00000000,0.02000000,0.50000000,95.00000000,0.97815696,0.00079341,0.91439300,0.30136986,0.50684932,0.76596188,0.15514968,0.47432660,-0.00009762,0.95233688,0.00249356,0.99995875,0.99979303,PROMOTE-deployable-distill-candidate
alpha10_delta_bw0.7_d0.005_pr0,10.00000000,delta,0.70000000,0.00500000,0.00000000,273.00000000,0.97815410,0.00079055,0.91393161,0.31506849,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95232789,0.00248458,0.99998386,0.99977788,PROMOTE-deployable-distill-candidate
alpha10_delta_bw0.7_d0.005_pr0.25,10.00000000,delta,0.70000000,0.00500000,0.25000000,228.00000000,0.97815410,0.00079055,0.91393184,0.31506849,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95232789,0.00248458,0.99998526,0.99977354,PROMOTE-deployable-distill-candidate
alpha10_delta_bw0.7_d0.005_pr0.5,10.00000000,delta,0.70000000,0.00500000,0.50000000,167.00000000,0.97815410,0.00079055,0.91393299,0.31506849,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95232789,0.00248458,0.99998802,0.99976398,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.01_pr0,0.01000000,delta,0.50000000,0.01000000,0.00000000,197.00000000,0.97814782,0.00078426,0.91416449,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95230814,0.00246482,0.99998056,0.99978945,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.01_pr0.25,0.01000000,delta,0.50000000,0.01000000,0.25000000,174.00000000,0.97814782,0.00078426,0.91416484,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95230814,0.00246482,0.99998155,0.99978839,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.01_pr0.5,0.01000000,delta,0.50000000,0.01000000,0.50000000,128.00000000,0.97814782,0.00078426,0.91416587,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95230814,0.00246482,0.99998365,0.99978008,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.02_pr0,0.01000000,delta,0.50000000,0.02000000,0.00000000,141.00000000,0.97814782,0.00078426,0.91402256,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95230814,0.00246482,0.99998142,0.99978588,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.02_pr0.25,0.01000000,delta,0.50000000,0.02000000,0.25000000,128.00000000,0.97814782,0.00078426,0.91402279,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95230814,0.00246482,0.99998226,0.99978620,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.5_d0.02_pr0.5,0.01000000,delta,0.50000000,0.02000000,0.50000000,102.00000000,0.97814782,0.00078426,0.91402291,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95230814,0.00246482,0.99998408,0.99977823,PROMOTE-deployable-distill-candidate
alpha10_delta_bw0.7_d0_pr0,10.00000000,delta,0.70000000,0.00000000,0.00000000,367.00000000,0.97814618,0.00078263,0.91407497,0.31506849,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95230300,0.00245968,0.99998375,0.99977881,PROMOTE-deployable-distill-candidate
alpha10_delta_bw0.7_d0_pr0.25,10.00000000,delta,0.70000000,0.00000000,0.25000000,301.00000000,0.97814618,0.00078263,0.91407520,0.31506849,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95230300,0.00245968,0.99998516,0.99977416,PROMOTE-deployable-distill-candidate
