name,kind,weights,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,min,max,mean,std
v114_logit_v117_0.03,logit_pair,v114:0.97;v117:0.03,0.9799233844910723,0.9154251530104863,0.2054794520547945,0.4931506849315068,22,0.01143962908169639,0.9994395000005962,0.5212663775929299,0.2412641860756786
v110_prob_v117_0.08,prob_pair,v110:0.92;v117:0.08,0.9798892745885059,0.9088257362067345,0.1232876712328767,0.410958904109589,22,0.01237202928,0.9992953000000001,0.5211044039426254,0.2388234546335236
v114_logit_v117_0.02,logit_pair,v114:0.98;v117:0.02,0.9798794646850588,0.9155619600852415,0.2191780821917808,0.4931506849315068,22,0.01134037574295033,0.9994485451035805,0.5212167333499778,0.24147662611567636
v110_logit_v117_0.03,logit_pair,v110:0.97;v117:0.03,0.9798723211090468,0.9145592067997144,0.2054794520547945,0.4931506849315068,22,0.01143962908169639,0.9994432688103667,0.5212854782117768,0.24167407721116585
v114_prob_v117_0.05,prob_pair,v114:0.95;v117:0.05,0.9798579024634997,0.9122457980149973,0.1232876712328767,0.4383561643835616,22,0.0119116743,0.9993572599999999,0.521099104090462,0.23967581984074407
v110_logit_v116_0.02,logit_pair,v110:0.98;v116:0.02,0.9798497860173075,0.9155840517238899,0.2054794520547945,0.4931506849315068,22,0.011341282724283286,0.9994523667522485,0.5212222451566669,0.24187263851808996
v110_logit_v117_0.02,logit_pair,v110:0.98;v117:0.02,0.9798284013030333,0.9146786397211575,0.2054794520547945,0.4931506849315068,22,0.01134037574295033,0.9994522912242703,0.5212349837996901,0.2418914909742918
v114_prob_v116_0.03,prob_pair,v114:0.97;v116:0.03,0.9798220600720711,0.9160266899211846,0.1917808219178082,0.4931506849315068,22,0.011607906040000001,0.9994013939999999,0.5211053158118003,0.24050161951845014
v110_prob_v117_0.05,prob_pair,v110:0.95;v117:0.05,0.9798068390814741,0.9113973410181553,0.1232876712328767,0.4383561643835616,22,0.0119116743,0.999360775,0.5211148371790714,0.24006331940556327
v114_logit_v119_0.10,logit_pair,v114:0.90;v119:0.10,0.9798004222971882,0.9198885845024163,0.1917808219178082,0.4657534246575342,22,0.0151771245632309,0.9994513081984228,0.521582660737478,0.23954844566435868
v110_prob_v116_0.03,prob_pair,v110:0.97;v116:0.03,0.9797330863101835,0.9151734003783883,0.1917808219178082,0.4794520547945205,22,0.011607906040000001,0.999404983,0.5211213801233276,0.2409029019597684
v110_logit_v119_0.10,logit_pair,v110:0.90;v119:0.10,0.9796866911576021,0.9191107747250022,0.1917808219178082,0.4657534246575342,22,0.0151771245632309,0.9994547322357972,0.5216095352352592,0.2399189870997448
v114_logit_v119_0.08,logit_pair,v114:0.92;v119:0.08,0.9796775036295992,0.9191662339428592,0.1917808219178082,0.4657534246575342,22,0.014269481351652681,0.9994543194112837,0.5214958435522022,0.23994958628219673
v114_logit_v117_0.15,logit_pair,v114:0.85;v117:0.15,0.9796739533476199,0.9114141398683776,0.1643835616438356,0.4246575342465753,22,0.012699750824742333,0.9993186696987328,0.5218046187179137,0.2392172365503571
v114_prob_v116_0.02,prob_pair,v114:0.98;v116:0.02,0.9796626181561255,0.9159458023067583,0.1917808219178082,0.4931506849315068,22,0.011453409360000001,0.999422996,0.5211087654613925,0.24096344664182226
v114_logit_v116_0.01,logit_pair,v114:0.99;v116:0.01,0.9796426632772722,0.9161117197178575,0.2328767123287671,0.5068493150684932,22,0.011242423351696956,0.9994574817300718,0.5211596796761393,0.241684645811598
v114_logit_v119_0.05,logit_pair,v114:0.95;v119:0.05,0.9796271187212251,0.9180226464609482,0.2328767123287671,0.4931506849315068,22,0.013007438682138552,0.9994588052903978,0.521359036531104,0.24062067240785984
v114_logit_v119_0.02,logit_pair,v114:0.98;v119:0.02,0.9795948571386238,0.9167046270822089,0.2328767123287671,0.4931506849315068,22,0.011855672985159493,0.9994632543122279,0.5212151172276255,0.24137356727977685
v114_prob_v117_0.03,prob_pair,v114:0.97;v117:0.03,0.9795859617518103,0.9137402053210704,0.1917808219178082,0.4383561643835616,22,0.011604770980000002,0.9994008359999998,0.521105728358508,0.24054165205876654
v114_prob_v117_0.02,prob_pair,v114:0.98;v117:0.02,0.9795767165942428,0.9144484034246182,0.1780821917808219,0.4383561643835616,22,0.01145131932,0.999422624,0.521109040492531,0.2409905337274399
v110_prob_v116_0.02,prob_pair,v110:0.98;v116:0.02,0.9795736443942379,0.915074793428796,0.1780821917808219,0.4794520547945205,22,0.011453409360000001,0.999426622,0.5211249953843788,0.24137246596968512
v114_logit_v117_0.01,logit_pair,v114:0.99;v117:0.01,0.9795671003094398,0.9156433079421397,0.2191780821917808,0.4931506849315068,22,0.011241973760170363,0.9994574443199018,0.5211664862058776,0.24169523115545588
v110_logit_v119_0.08,logit_pair,v110:0.92;v119:0.08,0.9795637724900131,0.9183603493746628,0.2054794520547945,0.4657534246575342,22,0.014269481351652681,0.999457800098431,0.5215205950529049,0.24033150179436802
v114_prob_v117_0.15,prob_pair,v114:0.85;v117:0.15,0.9795622143452615,0.9024918793092359,0.1232876712328767,0.3972602739726027,22,0.0134461909,0.9991393799999999,0.5210659827502324,0.23599966840794764
v114_logit_v119_0.15,logit_pair,v114:0.85;v119:0.15,0.9795587698798539,0.9212861107681666,0.1780821917808219,0.4794520547945205,22,0.017702230507230597,0.9994437073081234,0.5217825361042472,0.23870973391974792
v114_logit_v119_0.03,logit_pair,v114:0.97;v119:0.03,0.9795480298312081,0.917172463554837,0.2328767123287671,0.4931506849315068,22,0.012227938918290295,0.9994617753814805,0.5212638251348176,0.24111363143984718
v114_prob_v119_0.03,prob_pair,v114:0.97;v119:0.03,0.9795480298312081,0.9171618779779845,0.2054794520547945,0.4794520547945205,22,0.01600735541,0.9994611281999999,0.5210952481387116,0.24023279656439314
v114_prob_v113_0.00_v119_0.03,prob_three,v114:0.97;v113:0.00;v119:0.03,0.9795480298312081,0.9171618779779845,0.2054794520547945,0.4794520547945205,22,0.01600735541,0.9994611281999999,0.5210952481387116,0.24023279656439314
v114_prob_v113_0.02_v119_0.03,prob_three,v114:0.95;v113:0.02;v119:0.03,0.9795480298312081,0.9172438011379725,0.2054794520547945,0.4794520547945205,22,0.01600735541,0.9994607041999999,0.5210933696431096,0.2401985008452755
